probe,products,portal_kevin,portal_xeeshan,full_kevin,full_xeeshan,full_source,product_count,portal_product_pnls,probe_path,kevin_portal_log
me_microchip_taker_stress.py,"MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,MICROCHIP_RECTANGLE",3407.0,3407.0,,,,3,MICROCHIP_TRIANGLE:-3155;MICROCHIP_RECTANGLE:2076;MICROCHIP_SQUARE:4486,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_microchip_taker_stress.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_microchip_taker_stress_kevin_portal.log
me_robot_dishes_execution.py,ROBOT_DISHES,-6237.0,-6268.0,,,,1,ROBOT_DISHES:-6237,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_robot_dishes_execution.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_robot_dishes_execution_kevin_portal.log
me_robot_dishes_breakout.py,ROBOT_DISHES,-91.0,-91.0,,,,1,ROBOT_DISHES:-91,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_robot_dishes_breakout.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_robot_dishes_breakout_kevin_portal.log
me_translator_taker_stress.py,"TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,TRANSLATOR_SPACE_GRAY",1511.0,1511.0,,,,3,TRANSLATOR_GRAPHITE_MIST:-5042;TRANSLATOR_VOID_BLUE:-1372;TRANSLATOR_SPACE_GRAY:7925,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_translator_taker_stress.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_translator_taker_stress_kevin_portal.log
me_uv_portal_stress.py,"UV_VISOR_ORANGE,UV_VISOR_RED,UV_VISOR_YELLOW",711.0,711.0,,,,3,UV_VISOR_YELLOW:1700;UV_VISOR_RED:-1949;UV_VISOR_ORANGE:960,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_uv_portal_stress.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_uv_portal_stress_kevin_portal.log
me_microchip_positive_ablation.py,"MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,MICROCHIP_OVAL",11168.0,11168.0,,,,3,MICROCHIP_RECTANGLE:2666;MICROCHIP_SQUARE:4123;MICROCHIP_OVAL:4379,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_microchip_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_microchip_positive_ablation_kevin_portal.log
me_robot_positive_ablation.py,"ROBOT_DISHES,ROBOT_MOPPING,ROBOT_LAUNDRY,ROBOT_IRONING",4494.0,4494.0,,,,4,ROBOT_DISHES:664;ROBOT_MOPPING:309;ROBOT_LAUNDRY:997;ROBOT_IRONING:2524,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_robot_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_robot_positive_ablation_kevin_portal.log
me_sleep_positive_ablation.py,"SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON",12238.0,12238.0,,,,3,SLEEP_POD_COTTON:6547;SLEEP_POD_LAMB_WOOL:4174;SLEEP_POD_NYLON:1518,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_sleep_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_sleep_positive_ablation_kevin_portal.log
me_panel_positive_ablation.py,"PANEL_4X4,PANEL_1X2,PANEL_1X4,PANEL_2X2",12857.0,12857.0,,,,4,PANEL_1X2:2827;PANEL_1X4:2427;PANEL_2X2:1577;PANEL_4X4:6026,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_panel_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_panel_positive_ablation_kevin_portal.log
me_translator_positive_ablation.py,"TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL",11076.0,11076.0,,,,2,TRANSLATOR_SPACE_GRAY:7925;TRANSLATOR_ECLIPSE_CHARCOAL:3152,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_translator_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_translator_positive_ablation_kevin_portal.log
me_galaxy_positive_ablation.py,"GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,GALAXY_SOUNDS_PLANETARY_RINGS",13960.0,13960.0,,,,4,GALAXY_SOUNDS_DARK_MATTER:4254;GALAXY_SOUNDS_SOLAR_FLAMES:3246;GALAXY_SOUNDS_SOLAR_WINDS:1836;GALAXY_SOUNDS_PLANETARY_RINGS:4625,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_galaxy_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_galaxy_positive_ablation_kevin_portal.log
me_uv_positive_ablation.py,"UV_VISOR_YELLOW,UV_VISOR_RED,UV_VISOR_ORANGE",8440.0,8440.0,,,,3,UV_VISOR_YELLOW:1346;UV_VISOR_RED:3135;UV_VISOR_ORANGE:3959,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_uv_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_uv_positive_ablation_kevin_portal.log
me_oxygen_positive_ablation.py,"OXYGEN_SHAKE_MORNING_BREATH,OXYGEN_SHAKE_CHOCOLATE,OXYGEN_SHAKE_GARLIC,OXYGEN_SHAKE_MINT,OXYGEN_SHAKE_EVENING_BREATH",10858.0,10858.0,,,,5,OXYGEN_SHAKE_MORNING_BREATH:3446;OXYGEN_SHAKE_CHOCOLATE:1841;OXYGEN_SHAKE_EVENING_BREATH:795;OXYGEN_SHAKE_GARLIC:3442;OXYGEN_SHAKE_MINT:1334,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_oxygen_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_oxygen_positive_ablation_kevin_portal.log
me_snackpack_positive_ablation.py,"SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO",1728.0,1728.0,,,,4,SNACKPACK_VANILLA:418;SNACKPACK_CHOCOLATE:630;SNACKPACK_RASPBERRY:616;SNACKPACK_PISTACHIO:63,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_snackpack_positive_ablation.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_snackpack_positive_ablation_kevin_portal.log
me_individual_galaxy_dark_matter.py,GALAXY_SOUNDS_DARK_MATTER,4254.0,4254.0,,,,1,GALAXY_SOUNDS_DARK_MATTER:4254,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_galaxy_dark_matter.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_galaxy_dark_matter_kevin_portal.log
me_individual_galaxy_solar_flames.py,GALAXY_SOUNDS_SOLAR_FLAMES,3246.0,3246.0,,,,1,GALAXY_SOUNDS_SOLAR_FLAMES:3246,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_galaxy_solar_flames.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_galaxy_solar_flames_kevin_portal.log
me_individual_galaxy_solar_winds.py,GALAXY_SOUNDS_SOLAR_WINDS,1836.0,1836.0,,,,1,GALAXY_SOUNDS_SOLAR_WINDS:1836,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_galaxy_solar_winds.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_galaxy_solar_winds_kevin_portal.log
me_individual_translator_space_gray.py,TRANSLATOR_SPACE_GRAY,7925.0,7925.0,,,,1,TRANSLATOR_SPACE_GRAY:7925,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_translator_space_gray.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_translator_space_gray_kevin_portal.log
me_individual_translator_eclipse.py,TRANSLATOR_ECLIPSE_CHARCOAL,3152.0,3152.0,,,,1,TRANSLATOR_ECLIPSE_CHARCOAL:3152,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_translator_eclipse.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_translator_eclipse_kevin_portal.log
me_individual_oxygen_morning.py,OXYGEN_SHAKE_MORNING_BREATH,3446.0,3446.0,,,,1,OXYGEN_SHAKE_MORNING_BREATH:3446,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_oxygen_morning.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_oxygen_morning_kevin_portal.log
me_individual_oxygen_chocolate.py,OXYGEN_SHAKE_CHOCOLATE,1841.0,1841.0,,,,1,OXYGEN_SHAKE_CHOCOLATE:1841,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_oxygen_chocolate.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_oxygen_chocolate_kevin_portal.log
me_individual_oxygen_mint.py,OXYGEN_SHAKE_MINT,1334.0,1334.0,,,,1,OXYGEN_SHAKE_MINT:1334,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_oxygen_mint.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_oxygen_mint_kevin_portal.log
me_individual_panel_1x2.py,PANEL_1X2,2827.0,2827.0,,,,1,PANEL_1X2:2827,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_panel_1x2.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_panel_1x2_kevin_portal.log
me_individual_panel_1x4.py,PANEL_1X4,2427.0,2427.0,,,,1,PANEL_1X4:2427,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_panel_1x4.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_panel_1x4_kevin_portal.log
me_individual_panel_2x2.py,PANEL_2X2,1577.0,1577.0,,,,1,PANEL_2X2:1577,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_panel_2x2.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_panel_2x2_kevin_portal.log
me_individual_sleep_lamb_wool.py,SLEEP_POD_LAMB_WOOL,4174.0,4174.0,,,,1,SLEEP_POD_LAMB_WOOL:4174,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_sleep_lamb_wool.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_sleep_lamb_wool_kevin_portal.log
me_individual_sleep_nylon.py,SLEEP_POD_NYLON,1518.0,1518.0,,,,1,SLEEP_POD_NYLON:1518,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_sleep_nylon.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_sleep_nylon_kevin_portal.log
me_individual_microchip_square.py,MICROCHIP_SQUARE,4123.0,4123.0,,,,1,MICROCHIP_SQUARE:4123,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_microchip_square.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_microchip_square_kevin_portal.log
me_individual_microchip_rectangle.py,MICROCHIP_RECTANGLE,2666.0,2666.0,,,,1,MICROCHIP_RECTANGLE:2666,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_microchip_rectangle.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_microchip_rectangle_kevin_portal.log
me_individual_robot_dishes_basket_style.py,ROBOT_DISHES,664.0,664.0,,,,1,ROBOT_DISHES:664,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_robot_dishes_basket_style.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_robot_dishes_basket_style_kevin_portal.log
me_individual_robot_laundry.py,ROBOT_LAUNDRY,997.0,997.0,,,,1,ROBOT_LAUNDRY:997,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_robot_laundry.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_robot_laundry_kevin_portal.log
me_individual_robot_mopping.py,ROBOT_MOPPING,309.0,309.0,,,,1,ROBOT_MOPPING:309,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_robot_mopping.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_robot_mopping_kevin_portal.log
me_individual_snackpack_chocolate.py,SNACKPACK_CHOCOLATE,630.0,630.0,,,,1,SNACKPACK_CHOCOLATE:630,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_snackpack_chocolate.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_snackpack_chocolate_kevin_portal.log
me_individual_snackpack_raspberry.py,SNACKPACK_RASPBERRY,616.0,616.0,,,,1,SNACKPACK_RASPBERRY:616,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\probes\multi_engine\me_individual_snackpack_raspberry.py,C:\Users\kushagra\OneDrive\Documents\CS Projects\IMC Trading Comp\ROUND5\research\outputs\backtests\multi_engine_edge_expansion\me_individual_snackpack_raspberry_kevin_portal.log
